epoch,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,params/beta,step
83,0.007325881626456976,0.007182361092418432,0.007182361092418432,2.5591582470951835e-06,2.1245330117380945e-06,4.346246953446098e-07,0.00014096006634645164,3.656009539554361e-07,1.0439995321576134e-06,0.013765488751232624,,0.27172693610191345,3863
,,,,,,,,,,,0.0005,,3864
84,0.00755677605047822,0.0073639629408717155,0.0073639629408717155,2.405628265478299e-06,2.004640236918931e-06,4.0098771592056437e-07,0.00019040958432015032,6.753227239642001e-07,1.228772703143477e-06,0.013641314581036568,,0.2687941789627075,3909
,,,,,,,,,,,0.0005,,3910
85,0.00750712538138032,0.00730151729658246,0.00730151729658246,3.566324949133559e-06,2.361493216085364e-06,1.2048316193613573e-06,0.00020203938765916973,5.79011725676537e-07,1.4413819826586405e-06,0.013518630526959896,,0.27191200852394104,3955
,,,,,,,,,,,0.0005,,3956
86,0.007160938810557127,0.006955829448997974,0.006955829448997974,3.825741259788629e-06,2.7322723781253444e-06,1.0934679721685825e-06,0.00020128446340095252,5.209905111769331e-07,1.4918539363861782e-06,0.013391477055847645,,0.2712628245353699,4001
,,,,,,,,,,,0.0005,,4002
87,0.007185654249042273,0.007056098431348801,0.007056098431348801,2.8613544600375462e-06,2.187635118389153e-06,6.737193984918122e-07,0.00012669422721955925,3.8201872598619957e-07,8.849233950058988e-07,0.013267360627651215,,0.2681504189968109,4047
,,,,,,,,,,,0.0005,,4048
88,0.007050239946693182,0.006850008852779865,0.006850008852779865,2.958290906462935e-06,2.4489422685292084e-06,5.093486947771453e-07,0.00019726970640476793,4.928435828333022e-07,1.4798536085436353e-06,0.013143017888069153,,0.27031606435775757,4093
,,,,,,,,,,,0.0005,,4094
89,0.0071608261205255985,0.006998787634074688,0.006998787634074688,2.8965548608539393e-06,2.297196942890878e-06,5.99357690589386e-07,0.0001591434411238879,4.121741596918582e-07,1.1792599252657965e-06,0.0130233746021986,,0.26919400691986084,4139
,,,,,,,,,,,0.0005,,4140
90,0.007432255893945694,0.007283077109605074,0.007283077109605074,2.5213666958734393e-06,1.9550768683984643e-06,5.662897137881373e-07,0.00014665831986349076,4.800351121048152e-07,9.865480024018325e-07,0.012911551631987095,,0.26652368903160095,4185
,,,,,,,,,,,0.0005,,4186
91,0.007006121799349785,0.0068261222913861275,0.0068261222913861275,2.823437625920633e-06,2.333846623514546e-06,4.895910592495056e-07,0.00017717677110340446,6.236098784029309e-07,1.148158162322943e-06,0.012793443165719509,,0.26958808302879333,4231
,,,,,,,,,,,0.0005,,4232
