epoch,internal/smma_improvement,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,params/beta,step
95,,0.005877162795513868,0.00562366982921958,0.00562366982921958,7.565124178654514e-06,3.733495987034985e-06,3.831628418993205e-06,0.00024592812405899167,1.0948184581138776e-06,1.3644628324982477e-06,0.02492818795144558,,0.2719494104385376,4415
,,,,,,,,,,,,0.0005,,4416
96,,0.005785100162029266,0.005512353498488665,0.005512353498488665,6.595458216906991e-06,3.625022827691282e-06,2.9704351618420333e-06,0.00026615028036758304,1.2295587339394842e-06,1.4319438150778296e-06,0.024545326828956604,,0.2743639647960663,4461
,,,,,,,,,,,,0.0005,,4462
97,,0.005721724592149258,0.005443027708679438,0.005443027708679438,7.084489880071487e-06,3.5277012102596927e-06,3.556788442438119e-06,0.00027161327307112515,1.2395075827953406e-06,1.4766252434128546e-06,0.02416885457932949,,0.27814537286758423,4507
,,,,,,,,,,,,0.0005,,4508
98,,0.0056618573144078255,0.005372951272875071,0.005372951272875071,9.535026947560254e-06,3.467586111582932e-06,6.067441063350998e-06,0.000279371568467468,1.2468184422687045e-06,1.5468967831111513e-06,0.023798713460564613,,0.28181198239326477,4553
,,,,,,,,,,,,0.0005,,4554
99,,0.005530011840164661,0.005242351442575455,0.005242351442575455,8.941118721850216e-06,3.431194500080892e-06,5.509923084900947e-06,0.00027871926431544125,1.2373121762720984e-06,1.5498806078539928e-06,0.023433340713381767,,0.2845924496650696,4599
,,,,,,,,,,,,0.0005,,4600
